Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
AdaBoost + RF,1.0,1.0,1.0,1.0,1.0
XGBoost (PCA),0.8888888888888888,0.8571428571428571,1.0,0.9230769230769231,0.9722222222222223
Random Forest,0.8888888888888888,0.8571428571428571,1.0,0.9230769230769231,1.0
AdaBoost,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7500000000000002
SVM,0.5555555555555556,0.75,0.5,0.6,0.5833333333333334
